,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
20,PA14_53070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PA14_23220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PA14_31990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PA14_62260,PA14_65420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PA14_55710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PA14_30230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,162138566|SAUSA300_1593|SAUSA300_1593|,87160033|SAUSA300_0736|SAUSA300_0736|,87160101|SAUSA300_0191|SAUSA300_0191|,87160107|SAUSA300_0868|SAUSA300_0868|,87160188|SAUSA300_0329|SAUSA300_0329|,87160245|SAUSA300_1864|SAUSA300_1864|,87160264|SAUSA300_2399|SAUSA300_2399|,87160299|SAUSA300_1762|SAUSA300_1762|,87160407|SAUSA300_0252|SAUSA300_0252|,87160425|SAUSA300_0690|SAUSA300_0690|,87160435|SAUSA300_1740|SAUSA300_1740|,87160539|SAUSA300_1792|SAUSA300_1792|,87160557|SAUSA300_0742|SAUSA300_0742|,87160579|SAUSA300_0753|SAUSA300_0753|,87160649|SAUSA300_1020|SAUSA300_1020|,87160733|SAUSA300_0079|SAUSA300_0079|,87160752|SAUSA300_1006|SAUSA300_1006|,87160831|SAUSA300_2526|SAUSA300_2526|,87160844|SAUSA300_2551|SAUSA300_2551|,87160866|SAUSA300_1911|SAUSA300_1911|,87160871|SAUSA300_2476|SAUSA300_2476|,87160888|SAUSA300_1270|SAUSA300_1270|,87160914|SAUSA300_1223|SAUSA300_1223|,87161262|SAUSA300_1269|SAUSA300_1269|,87161277|SAUSA300_0962|SAUSA300_0962|,87161329|SAUSA300_1603|SAUSA300_1603|,87161426|SAUSA300_0912|SAUSA300_0912|,87161618|SAUSA300_1038|SAUSA300_1038|,87161822|SAUSA300_2473|SAUSA300_2473|,87161829|SAUSA300_2023|SAUSA300_2023|,87161864|SAUSA300_0618|SAUSA300_0618|,87161989|SAUSA300_0963|SAUSA300_0963|,87161992|SAUSA300_1544|SAUSA300_1544|,87162086|SAUSA300_1311|SAUSA300_1311|,87162300|SAUSA300_2062|SAUSA300_2062|,87162360|SAUSA300_1685|SAUSA300_1685|,PA14_21730,PA14_28800,PA14_31040,PA14_63320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PA14_01030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PA14_05080,PA14_13620,PA14_15000,PA14_16460,PA14_19230,PA14_23460,PA14_29820,PA14_60240,PA14_70070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PA14_63990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PA14_27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
